hair    1.6
feathers    1.67
eggs    1.56
milk    1.42
airborne    1.92
aquatic    2.0
predator    2.3
toothed    1.52
backbone    1.71
breathes    1.78
venomous    2.26
fins    1.92
legs    1.03
tail    1.89
domestic    2.34
catsize    2.08
